"personneid","nom","nomusage","prenoms","sexe","datenaissance","codelieunaissance","lieunaissance","numero","email","telephone"
"083082de-3012-4930-a5f8-aa274d80bad4","MEYOPOU",NULL,"Gautier Marouane","M","1938-08-28 00:00:00","99352","M'CHEDALLAH","810009781080",NULL,"0620000428"
"0f3e6ed1-a93c-4cb7-989a-bf2811550db8","HANNEQUIN",NULL,"Mââ Méréï Djeuteïnon","F","1974-11-15 00:00:00","98818","Nouméa","810009871020",NULL,"0620000107"
"11e3f332-ead6-424f-9c55-27aad383ae90","MARIE ANTOINE JOSEPH DIT MARIE ANTOINE JOSEPH ALIAS SOOSAIRAJ DIT AUSSI MARIE JOSEPH ANTOINE SOOSAIR",NULL,"Mevlut Federico","M","1964-01-01 00:00:00","99208","IMRALLI","810009541240",NULL,"0620001284"
"1e0c8779-d0c7-4aa9-89f5-f58e523aface","PAYETTE",NULL,"Thaïs Kayla Aliyah","F","2005-02-10 00:00:00","97416","Saint-Pierre","810009151500",NULL,"0620002675"
"1f5b0d1c-410a-4b77-ac27-8a76e6a823b1","BUXEDAT",NULL,"Kaiss Sliman Alexandre","M","1907-05-13 00:00:00","66016","Banyuls-sur-Mer","810009601200",NULL,"0620001070"
"3b1adcfb-eca7-4a87-aa72-520cd1630c0f","D'HONDT",NULL,"Marie-Louise Godelieve","F","1999-07-05 00:00:00","99131","Ottignies-Louvain-la-Neuve","810009691140",NULL,"0620000749"
"46e65e20-672d-4697-86d1-d248488f2204","PELTIER-HIVER",NULL,"François Maurice","M","1969-09-09 00:00:00","44109","Nantes","810009421320",NULL,"0620001712"
"487148e5-4254-4ca7-9c7b-2dc44815133c","CUISSONEAUX",NULL,"Razvan Alexandru","M","1985-04-20 00:00:00","49126","Orée d'Anjou","810009451300",NULL,"0620001605"
"4f279e88-d723-4890-a390-c1582ccc873a","FATTICCINNI",NULL,"Anghjulina Chjara Magdalena","F","1981-09-01 00:00:00","20050","Calvi","810009181480",NULL,"0620002568"
"5397269b-fb82-450f-b44b-87e8c732c1a5","RODRIGUEZ",NULL,"Kiteria Joanitz","F","2008-02-20 00:00:00","64477","Saint-Étienne-de-Baïgorry","810009091540",NULL,"0620002889"
"545490b0-0543-4975-8b07-ad92e19b3f82","SERRAFUN",NULL,"Fatima Souraya","F","1996-06-06 00:00:00","57463","Roubaix","810009271420",NULL,"0620002247"
"5973b2aa-81b0-4b19-adc5-a4f5f37b30d0","N'GOLO",NULL,"Virginie Andrée Henriette","F","1982-10-04 00:00:00","13055","Marseille","810009661160",NULL,"0620000856"
"6185a1ac-045c-4c13-b450-94de278ff16a","CHOVET",NULL,"Kenny-Elijah-Emanueli Agape-Belamour Gael-Li-Magnifique Samson-Salomon-Sage Jeonathanael David-Diko-Splendide Theophile","M","2002-05-17 00:00:00","34172","Montpellier","810009571220",NULL,"0620001177"
"6c4083c7-7203-4a05-be12-4a594af54f16","SERRAFUN",NULL,"Nael Tahar Axel","M","2000-12-29 00:00:00","59512","Roubaix","810009331380",NULL,"0620002033"
"71f46618-3243-40de-8f84-8b2d2850ca05","DIACONUT",NULL,"N'doram Yassine Ylies","M","1982-05-24 00:00:00","99127","CACCURI","810009241440",NULL,"0620002354"
"9cf92bd4-0cf3-438c-a07d-1250e65375b3","HUC--GOUJON",NULL,"Anaïs Maréva","F","1996-05-09 00:00:00","97209","Fort-de-France","810009721120",NULL,"0620000642"
"a7568d7f-9ce8-4398-a92e-86508eb5470e","LEICHNIG ZITTE",NULL,"Thaïs Kayla Aliyah","F","2005-02-10 00:00:00","97416","Saint-Pierre","810009121520",NULL,"0620002782"
"ad66d8bb-ef6b-4848-8917-e7e08d58eb3a","PRINCESSE MONEGASQUE",NULL,"Sarah Stéphanie Eugènie","F","1940-05-06 00:00:00","99138","MONACO","810009751100",NULL,"0620000535"
"b5838a3a-09ec-47a0-88fc-1f4ea51f6d4c","RANDRIANARIVELO",NULL,"Lamasola Raquamala","F","1964-06-01 00:00:00","99333","ANTANANARIVO","810009841040",NULL,"0620000214"
"b58a3ada-c0e0-4d5a-80c9-8681bacf1f23","RÀÂÄÇÉÈÊËÎÏÔÖÙÛÜŸÆŒ",NULL,"Françoise Mireille Tàâäçéèêëîïôöùûüÿæœ","F","1998-05-06 00:00:00","59350","Lille","810009901000",NULL,"0620000000"
"b8e1742d-4765-4cce-b3a0-e9fa48e890ea","RODRIGUEZ",NULL,"Denis Joachim","M","2008-02-29 00:00:00","64477","Saint-Étienne-de-Baïgorry","810009391340",NULL,"0620001819"
"bf57bc6a-ec4c-461c-9784-c220df13fdf5","EL HANNA",NULL,"Kevin Ludwick","M","2003-06-28 00:00:00","67447","Schiltigheim","810009361360",NULL,"0620001926"
"c74c9566-8975-4902-b22e-91925901b25e","PAXREINA",NULL,"Chrystel Sar","F","1969-06-13 00:00:00","99234","Village de Cham Ro A, Commune de Kuoch Chidey, District de Mong Russey, Province de Battambang","810009811060",NULL,"0620000321"
"ca7fb1b2-b4f4-4eab-b1db-509fb5216346","VIKTOROVITCHE",NULL,"Thomas Jean-Pierre","M","1984-06-29 00:00:00","93045","Les Lilas","810009631180",NULL,"0620000963"
"da7af49d-ff3c-4019-b0f8-7e5096f59768","CHOUDERLAT",NULL,"Matthieu Clément","M","1981-11-23 00:00:00","2B033","Bastia","810009481280",NULL,"0620001498"
"def04148-880c-4134-a498-42dcf04482c9","JAUREGUIBERRY",NULL,"Manuel Pedro Juan","M","1984-04-02 00:00:00","38516","La Tronche","810009511260",NULL,"0620001391"
"f554f34e-e3b5-4a9e-a288-73fea833f6c2","BENGUIGUI",NULL,"Fatima Souraya","F","1996-06-06 00:00:00","57463","Metz","810009301400",NULL,"0620002140"
"fc64b59b-78e2-46a3-b49b-73c53ad412e1","DE VUONO",NULL,"Lazlo Attila Szabolcs","M","1962-10-07 00:00:00","99114","BUCAREST","810009211460",NULL,"0620002461"

